#P_bar	T_K
0.00133322	1284.0
0.0066660999999999995	1421.0
0.013332199999999999	1487.0
0.026664399999999998	1555.0
0.053328799999999996	1635.0
0.0799932	1684.0
0.133322	1749.0
0.266644	1844.0
0.533288	1947.0
1.0132472	2056.0

