1178.51087, 2.33852
1278.14914, 2.32100
1375.93032, 2.30354
1475.63975, 2.28510
1561.89390, 2.26684
1659.36393, 2.24848
1752.93111, 2.22862
1846.50503, 2.21250
1940.94199, 2.19434
2039.91441, 2.17729
2135.88897, 2.16147
2231.19067, 2.14223
2329.96363, 2.12548
2421.80305, 2.10874
2586.41771, 2.07697
2681.71787, 2.05688
2777.01724, 2.03636
2898.30684, 2.00995
2992.16553, 1.99154
3088.91272, 1.97286
3184.20886, 1.95054
3279.51291, 1.93261
3374.81792, 1.91521
3454.02785, 1.89818
3556.74473, 1.87140
3653.00624, 1.85040
3747.34435, 1.83083
3842.63850, 1.80742
3924.94230, 1.78958
4119.86401, 1.74271
4215.16332, 1.72215
4309.49363, 1.69826
4404.78430, 1.67292
4481.85413, 1.65160
4545.91878, 1.63111
4639.62959, 1.60352
4734.92105, 1.57862
4830.20434, 1.54918
4925.49010, 1.52112
5020.76930, 1.48942
5116.05065, 1.45892
5211.32738, 1.42585
5305.73971, 1.39406
5404.47430, 1.35606
5492.81030, 1.31902
5575.08016, 1.28239
5661.67074, 1.23869
5748.25906, 1.19374
5826.18542, 1.15155
5899.76311, 1.10094
5957.08757, 1.04885
6016.58334, 0.99928
6066.32784, 0.94918
6115.57976, 0.89295
6158.80019, 0.82964
6189.53325, 0.78381
6245.10889, 0.70602

