# Time-averaged data for fix savemsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 2.82675e-30 0 0 2.82675e-30
2000 3.28756 3.56422 3.1219 9.97368
4000 6.53564 6.91529 9.12021 22.5711
6000 9.23555 11.5274 11.873 32.6359
8000 10.9059 15.7872 14.3217 41.0148
10000 14.2871 20.8767 18.1943 53.3581
12000 17.3393 24.5682 20.7033 62.6109
14000 21.5742 28.825 22.6363 73.0355
16000 25.4076 34.0015 28.4362 87.8453
18000 27.724 39.0636 31.2025 97.9901
20000 31.0282 43.1852 36.4749 110.688
22000 34.8395 48.7127 42.0573 125.61
24000 41.5447 51.5692 44.1751 137.289
26000 46.7545 54.1519 43.149 144.055
28000 50.9437 54.778 44.117 149.839
30000 52.4412 58.782 50.5941 161.817
32000 54.7574 58.4568 52.7882 166.002
34000 55.0766 60.2561 55.2348 170.567
36000 57.4357 65.1031 59.2142 181.753
38000 60.8541 69.5961 63.7972 194.247
40000 64.2278 73.5658 67.0755 204.869
42000 68.2915 76.9709 73.6379 218.9
44000 68.7537 83.4381 73.0737 225.266
46000 75.1508 82.9566 76.1594 234.267
48000 80.1379 86.8093 75.8402 242.787
50000 78.737 90.2263 79.7946 248.758
52000 80.6159 93.9474 81.8237 256.387
54000 80.667 94.7227 89.6911 265.081
56000 86.91 97.9359 93.3804 278.226
58000 90.5864 102.144 98.329 291.06
60000 88.3468 106.821 99.1167 294.285
62000 89.7815 110.534 99.9389 300.254
64000 91.0463 112.573 104.694 308.314
66000 94.5669 121.491 113.017 329.075
68000 98.4772 119.206 117.267 334.949
70000 99.9147 123.847 115.087 338.849
72000 106.992 126.234 116.43 349.655
74000 113.302 129.877 124.831 368.01
76000 116.538 134.294 125.855 376.687
78000 119.499 133.438 126.201 379.138
80000 119.824 139.405 128.256 387.484
82000 121.04 147.3 131.03 399.37
84000 123.99 147.108 133.532 404.63
86000 122.193 147.681 138.681 408.555
88000 130.504 153.447 140.441 424.393
90000 133.598 158.919 144.181 436.698
92000 137.876 164.137 142.992 445.004
94000 140.846 160.786 145.537 447.169
96000 144.846 161.32 154.429 460.595
98000 148.893 161.743 156.229 466.866
100000 155.44 167.972 162.151 485.564
102000 163.807 167.591 166.616 498.015
104000 161.199 169.421 167.171 497.79
106000 173.546 168.867 166.03 508.442
108000 175.07 174.498 173.342 522.91
110000 178.643 177.427 177.986 534.056
112000 181.279 173.872 180.373 535.524
114000 182.394 175.677 191.066 549.137
116000 185.097 176.978 191.153 553.228
118000 186.721 182.355 194.867 563.943
120000 193.411 185.005 199.8 578.217
122000 198.35 189.327 203.556 591.233
124000 207.274 192.472 201.034 600.781
126000 210.024 196.686 203.62 610.33
128000 221.555 202.765 207.545 631.865
130000 219.891 206.083 211.995 637.968
132000 218.31 206.311 216.586 641.207
134000 226.085 209.702 217.599 653.386
136000 230.809 209.953 222.993 663.754
138000 235.819 212.63 226.438 674.887
140000 237.199 215.707 230.416 683.321
142000 235.364 218.973 235.114 689.451
144000 241.699 220.62 240.772 703.092
146000 248.206 227.079 244.327 719.613
148000 249.493 232.159 251.534 733.185
150000 256.89 241.706 262.627 761.223
152000 260.789 246.78 260.666 768.234
154000 265.883 248.982 258.925 773.79
156000 264.169 252.533 262.685 779.387
158000 270.96 263.747 261.568 796.275
160000 278.595 270.206 267.538 816.339
162000 280.599 274.536 267.008 822.143
164000 276.844 276.24 276.233 829.318
166000 288.759 288.266 280.639 857.663
168000 289.01 295.593 284.983 869.587
170000 295.048 296.065 288.718 879.831
172000 298.184 295.589 290.652 884.426
174000 306.104 292.748 291.826 890.679
176000 308.183 291.033 286.38 885.596
178000 314.036 282.902 289.847 886.785
180000 317.475 281.058 291.901 890.434
182000 316.22 285.849 311.336 913.404
184000 324.485 289.073 312.519 926.077
186000 329.875 291.943 327.165 948.983
188000 337.73 303.612 331.887 973.229
190000 349.266 309.51 330.978 989.754
192000 353.182 320.888 341.674 1015.74
194000 353.995 323.268 346.618 1023.88
196000 356.346 324.454 357.154 1037.95
198000 353.704 324.196 358.661 1036.56
200000 350.647 331.812 364.324 1046.78
202000 344.979 333.601 372.341 1050.92
204000 343.629 337.285 378.527 1059.44
206000 345.701 337.311 380.457 1063.47
208000 342.949 342.239 389.427 1074.61
210000 347.782 340.511 392.746 1081.04
212000 353.751 344.405 397.311 1095.47
214000 358.636 348.281 397.307 1104.22
216000 356.764 359.595 408.048 1124.41
218000 361.345 368.837 412.19 1142.37
220000 360.138 374.045 415.229 1149.41
222000 364.686 378.567 418.412 1161.66
224000 365.656 384.995 432.915 1183.57
226000 360.816 384.892 440.477 1186.19
228000 366.548 390.165 445.624 1202.34
230000 364.683 386.248 452.075 1203.01
232000 372.11 388.617 454.371 1215.1
234000 381.62 384.084 466.052 1231.76
236000 375.776 383.449 475.526 1234.75
238000 381.101 388.172 478.153 1247.43
240000 388.613 395.651 480.734 1265
242000 387.444 397.016 481.983 1266.44
244000 388.249 405.843 488.824 1282.92
246000 386.771 401.175 494.487 1282.43
248000 384.555 398.474 500.311 1283.34
250000 390.544 409.733 506.604 1306.88
252000 388.882 422.151 506.531 1317.56
254000 398.076 424.057 514.65 1336.78
256000 399.72 422.866 518.732 1341.32
258000 404.029 423.746 524.025 1351.8
260000 412.063 429.742 516.353 1358.16
262000 412.29 439.012 518.485 1369.79
264000 414.199 435.578 519.565 1369.34
266000 426.575 431.879 518.466 1376.92
268000 429.156 431.832 521.541 1382.53
270000 436.146 430.745 526.586 1393.48
272000 439.409 431.21 536.451 1407.07
274000 445.01 428.812 529.829 1403.65
276000 450.263 425.332 520.993 1396.59
278000 460.119 432.935 522.827 1415.88
280000 466.291 432.31 535.268 1433.87
282000 478.844 430.763 546.811 1456.42
284000 478.654 444.882 552.728 1476.26
286000 491.629 449.644 559.616 1500.89
288000 490.033 456.779 568.514 1515.33
290000 485.716 453.782 578.813 1518.31
292000 489.443 458.617 582.846 1530.91
294000 493.172 458.358 602.635 1554.17
296000 504.504 456.829 610.729 1572.06
298000 498.009 452.399 622.025 1572.43
300000 499.071 461.645 616.782 1577.5
302000 499.13 461.555 628.691 1589.38
304000 492.085 461.089 634.379 1587.55
306000 494.41 460.345 636.423 1591.18
308000 497.355 473.109 633.02 1603.48
310000 506.723 472.685 625.829 1605.24
312000 506.885 479.743 631.461 1618.09
314000 516.094 483.286 636.474 1635.85
316000 513.93 486.479 639.312 1639.72
318000 517.085 481.826 646.048 1644.96
320000 523.911 487.108 635.248 1646.27
322000 523.533 485.274 631.351 1640.16
324000 523.15 490.734 641.323 1655.21
326000 517.43 496.234 647.859 1661.52
328000 512.637 496.98 636.309 1645.92
330000 506.848 498.561 635.584 1640.99
332000 507.248 495.129 632.173 1634.55
334000 509.808 511.489 628.843 1650.14
336000 503.998 523.354 633.386 1660.74
338000 505.931 529.498 635.507 1670.94
340000 505.461 534.931 650.796 1691.19
342000 513.259 542.443 656.753 1712.45
344000 521.893 542.125 668.572 1732.59
346000 525.794 543.743 676.347 1745.88
348000 528.231 546.356 686.34 1760.93
350000 536.705 553.657 688.975 1779.34
352000 537.377 544.698 697.487 1779.56
354000 528.974 541.822 699.079 1769.87
356000 545.566 549.224 711.403 1806.19
358000 555.316 549.615 705.257 1810.19
360000 555.271 548.273 704.903 1808.45
362000 562.406 544.274 709.761 1816.44
364000 557.873 546.556 712.737 1817.17
366000 564.991 549.362 710.164 1824.52
368000 553.891 564.731 720.785 1839.41
370000 561.333 560.717 719.377 1841.43
372000 563.595 558.516 712.609 1834.72
374000 571.331 559.07 718.235 1848.64
376000 575.622 552.853 718.368 1846.84
378000 582.62 547.316 707.549 1837.49
380000 593.335 553.245 716.353 1862.93
382000 587.598 547.18 728.482 1863.26
384000 590.833 558.965 731.629 1881.43
386000 593.457 560.367 734.009 1887.83
388000 601.275 561.781 732.582 1895.64
390000 610.051 562.565 736.763 1909.38
392000 623.525 573.613 731.059 1928.2
394000 629.207 574.952 733.535 1937.69
396000 630.249 575.042 740.896 1946.19
398000 641.382 568.912 747.428 1957.72
400000 649.704 568.767 743.352 1961.82
402000 656.847 579.746 739.57 1976.16
404000 659.189 581.317 755.76 1996.27
406000 654.338 584.407 772.161 2010.91
408000 648.53 586.382 774.658 2009.57
410000 649.99 580.772 770.681 2001.44
412000 654.11 593.883 786.066 2034.06
414000 656.3 596.822 780.893 2034.02
416000 653.347 598.044 792.268 2043.66
418000 660.065 597.536 805.716 2063.32
420000 658.679 590.276 800.466 2049.42
422000 667.233 601.305 801.595 2070.13
424000 666.56 606.055 816.458 2089.07
426000 665.623 605.279 795.818 2066.72
428000 654.985 612.887 793.372 2061.24
430000 659.736 621.55 807.333 2088.62
432000 686.715 625.047 801.636 2113.4
434000 691.381 622.512 806.723 2120.62
436000 687.467 628.735 816.037 2132.24
438000 686.843 631.825 809.244 2127.91
440000 701.195 630.653 816.481 2148.33
442000 706.855 630.861 820.743 2158.46
444000 709.096 646.03 814.018 2169.14
446000 709.792 647.906 811.275 2168.97
448000 717.683 646.577 806.821 2171.08
450000 718.788 659.251 806.533 2184.57
452000 739.743 660.046 812.457 2212.25
454000 741.852 662.001 818.964 2222.82
456000 737.096 664.211 827.265 2228.57
458000 749.363 674.862 843.427 2267.65
460000 737.312 666.721 853.124 2257.16
462000 730.098 683.819 855.188 2269.11
464000 733.444 679.023 863.336 2275.8
466000 743.814 682.276 870.151 2296.24
468000 749.832 679.766 877.498 2307.1
470000 754.409 682.14 882.918 2319.47
472000 768.158 681.281 893.67 2343.11
474000 763.693 685.313 890.96 2339.97
476000 760.341 692.244 905.692 2358.28
478000 764.189 691.723 911.26 2367.17
480000 766.338 690.6 908.466 2365.4
482000 765.265 684.467 912.435 2362.17
484000 761.747 681.719 918.93 2362.4
486000 759.638 689.818 918.75 2368.21
488000 761.24 703.322 924.339 2388.9
490000 765.887 723.586 915.296 2404.77
492000 771.487 722.572 916.358 2410.42
494000 776.015 727.754 916.644 2420.41
496000 780.169 716.731 917.32 2414.22
498000 776.869 722.634 925.428 2424.93
500000 785.325 717.298 927.25 2429.87
502000 790.835 726.252 923.428 2440.52
504000 794.238 727.49 931.521 2453.25
506000 796.63 747.412 919.178 2463.22
508000 798.375 769.778 930.139 2498.29
510000 792.978 780.394 929.646 2503.02
512000 787.459 791.904 928.748 2508.11
514000 779.518 796.715 934.71 2510.94
516000 792.716 785.988 930.318 2509.02
518000 804.261 787.989 919.499 2511.75
520000 813.99 786.529 912.503 2513.02
522000 819.267 785.722 909.996 2514.98
524000 832.638 796.646 906.192 2535.48
526000 836.276 793.78 908.888 2538.94
528000 835.424 805.355 923.59 2564.37
530000 836.405 811.105 923.06 2570.57
532000 837.199 813.026 927.993 2578.22
534000 835.023 827.398 938.451 2600.87
536000 844.871 827.934 952.391 2625.2
538000 850.123 824.391 967.706 2642.22
540000 855.06 834.955 975.864 2665.88
542000 859.345 847.984 968.691 2676.02
544000 867.693 862.241 997.586 2727.52
546000 876.069 863.727 1005.47 2745.27
548000 883.963 867.189 1005.12 2756.27
550000 892.807 858.907 1031.47 2783.18
552000 906.963 856.956 1040.38 2804.3
554000 917.452 856.558 1027.39 2801.4
556000 924.686 873.162 1028.93 2826.78
558000 931.766 867.959 1033.3 2833.03
560000 930.764 882.399 1020.75 2833.92
562000 935.249 893.862 1015.11 2844.22
564000 942.542 893.045 1018.93 2854.51
566000 937.405 893.451 1020.36 2851.22
568000 945.347 898.008 1023.44 2866.79
570000 951.542 893.234 1026.86 2871.63
572000 950.522 899.061 1041.39 2890.97
574000 944.576 895.939 1054.07 2894.58
576000 935.715 896.612 1062.68 2895.01
578000 933.545 889.718 1080.63 2903.89
580000 946.997 905.155 1077.07 2929.22
582000 958.446 917.32 1084.01 2959.78
584000 970.421 935.862 1077.07 2983.35
586000 973.701 930.871 1075.56 2980.13
588000 981.668 929.961 1086.24 2997.87
590000 978.115 930.851 1089.38 2998.35
592000 990.821 936.403 1107.97 3035.19
594000 983.456 956.809 1110.9 3051.16
596000 988.118 958.359 1123.81 3070.29
598000 985.353 952.193 1124.11 3061.66
600000 991.785 954.596 1135.26 3081.64
602000 1003.63 959.695 1135.56 3098.89
604000 993.808 967.618 1142.96 3104.38
606000 1010.93 964.949 1140.71 3116.59
608000 1001.15 976.821 1143.7 3121.68
610000 1009.16 987.191 1149.32 3145.67
612000 1015.99 990.724 1155.87 3162.59
614000 1015.94 982.905 1162.33 3161.17
616000 1021.79 982.694 1165.41 3169.89
618000 1020.82 987.592 1173.6 3182.01
620000 1024.6 994.229 1177.9 3196.73
622000 1038.01 1013.28 1186.74 3238.03
624000 1042.84 1017.15 1203.6 3263.59
626000 1048.6 1016.54 1197.41 3262.55
628000 1059.88 998.326 1207.44 3265.64
630000 1070.06 1011.54 1211.34 3292.94
632000 1075.72 1011.91 1219.39 3307.02
634000 1077.05 1000.75 1226.83 3304.63
636000 1082.36 999.071 1239.06 3320.49
638000 1104.31 998.943 1236.16 3339.41
640000 1109.63 1013.3 1245.32 3368.25
642000 1105.22 1021.44 1238.02 3364.69
644000 1113.69 1018.31 1224.2 3356.2
646000 1117.42 1037.19 1231.67 3386.28
648000 1129.24 1036.54 1236.44 3402.21
650000 1108.83 1022.59 1221.9 3353.32
652000 1108.41 1020.16 1217.87 3346.45
654000 1104.01 1036.09 1224.83 3364.93
656000 1106.62 1036.35 1208.69 3351.66
658000 1098.53 1039.69 1232.2 3370.42
660000 1102.53 1047.85 1237.66 3388.04
662000 1106.68 1061.74 1243.31 3411.73
664000 1111.85 1061.75 1253.75 3427.36
666000 1128.86 1058.77 1274.8 3462.43
668000 1144.79 1056.57 1273.98 3475.34
670000 1154.79 1046.03 1271.58 3472.4
672000 1150.76 1052.3 1268.85 3471.91
674000 1154.46 1046.72 1277.25 3478.43
676000 1154.78 1065.63 1285.56 3505.96
678000 1160.68 1086.59 1292.72 3539.98
680000 1164.05 1103.34 1290.45 3557.84
682000 1162.79 1112.15 1273.57 3548.51
684000 1154.19 1094.71 1277.1 3526
686000 1154.08 1103.14 1288.89 3546.11
688000 1158.65 1106.32 1286.32 3551.28
690000 1147.8 1113.6 1294.17 3555.58
692000 1148.56 1097.69 1303.79 3550.04
694000 1154.93 1104.52 1315.01 3574.46
696000 1165.3 1115.4 1325.1 3605.8
698000 1165.88 1121.93 1304.42 3592.23
700000 1171.03 1123.11 1293.4 3587.55
702000 1162.42 1137.5 1297.32 3597.24
704000 1171.39 1122.67 1318.28 3612.34
706000 1176.97 1135 1341.04 3653
708000 1189.05 1145.12 1352.19 3686.35
710000 1183.77 1159.33 1370.76 3713.86
712000 1179.94 1160.8 1375.23 3715.97
714000 1196.02 1155.6 1367.97 3719.59
716000 1203.51 1171.37 1355.03 3729.91
718000 1199.49 1191.1 1359.39 3749.98
720000 1194.69 1207.88 1354.9 3757.46
722000 1196.91 1228.77 1351.73 3777.42
724000 1209.29 1229.06 1353.66 3792.01
726000 1217.43 1230.58 1352.28 3800.29
728000 1219.84 1240.89 1357.83 3818.56
730000 1225.68 1244.19 1358.39 3828.26
732000 1234.35 1239.72 1364.89 3838.96
734000 1243.35 1241.33 1377.72 3862.4
736000 1239.36 1257.02 1374.98 3871.36
738000 1233.97 1265.95 1384.37 3884.29
740000 1234.35 1281.31 1384.15 3899.81
742000 1234.51 1285.76 1386.24 3906.5
744000 1234.77 1287.83 1379.42 3902.03
746000 1241.05 1286.6 1380.96 3908.6
748000 1248.85 1288.49 1393.94 3931.28
750000 1256.32 1267.06 1399.5 3922.88
752000 1269.48 1268.17 1416.88 3954.52
754000 1293.32 1277.87 1423.15 3994.34
756000 1293.35 1282.33 1440.51 4016.19
758000 1290.69 1286.15 1434.86 4011.71
760000 1279.2 1294.41 1426.92 4000.53
762000 1291.65 1284.68 1422.6 3998.94
764000 1286.3 1268.81 1418.7 3973.8
766000 1283.1 1261.64 1440.64 3985.38
768000 1282.45 1271.92 1436.49 3990.86
770000 1288.61 1271.48 1440.86 4000.94
772000 1304.86 1279.28 1439.66 4023.8
774000 1308.98 1267.25 1459.61 4035.83
776000 1318.15 1268.48 1466.47 4053.1
778000 1318.79 1267.65 1448.5 4034.94
780000 1319.44 1265.11 1456.21 4040.77
782000 1338.92 1257.69 1449.66 4046.28
784000 1340.41 1267.27 1472.54 4080.22
786000 1338.59 1278.19 1464.26 4081.04
788000 1335.09 1278.61 1468.03 4081.73
790000 1337.2 1290.67 1467.86 4095.73
792000 1334.34 1286.46 1474.58 4095.37
794000 1335.39 1282.83 1467.45 4085.67
796000 1347.36 1295.82 1475.15 4118.34
798000 1341.72 1295.13 1478.58 4115.43
800000 1356.06 1304.07 1493.94 4154.07
802000 1369.77 1318.57 1513.41 4201.75
804000 1370.3 1332.01 1507.61 4209.92
806000 1366.11 1348.25 1520.84 4235.21
808000 1368.81 1351.07 1519.39 4239.26
810000 1363.22 1356.83 1516.55 4236.6
812000 1370.13 1339.42 1518.78 4228.33
814000 1377.6 1326.34 1511.1 4215.04
816000 1384.49 1328.71 1538.44 4251.65
818000 1386.22 1332.83 1529.05 4248.1
820000 1374.58 1340.08 1540.06 4254.72
822000 1387 1333.98 1533.52 4254.5
824000 1392.4 1331.69 1534.62 4258.71
826000 1382.63 1333.53 1539.87 4256.03
828000 1389.41 1351.92 1543.06 4284.4
830000 1385.29 1361.38 1553.95 4300.62
832000 1372.7 1376.27 1581.9 4330.87
834000 1372.52 1390.28 1573.82 4336.62
836000 1393.64 1413.91 1591.59 4399.14
838000 1417.38 1406.06 1603.08 4426.52
840000 1418.26 1399.99 1608.71 4426.95
842000 1420.9 1390.92 1611.65 4423.48
844000 1423.61 1387.01 1612.47 4423.09
846000 1427.67 1397.56 1613.52 4438.75
848000 1424.58 1422.31 1623.27 4470.16
850000 1414.14 1441.12 1612.24 4467.5
852000 1416.95 1447.21 1607.15 4471.32
