# Time-averaged data for fix savemsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 1.82607e-33 0 1.82607e-33 3.65213e-33
2000 2.30543 2.48781 2.43771 7.23094
4000 4.38034 4.7202 4.92553 14.0261
6000 7.4263 7.21451 7.39578 22.0366
8000 10.104 9.04128 9.72341 28.8687
10000 13.2054 11.5073 11.7168 36.4295
12000 15.7997 13.8704 15.2914 44.9615
14000 17.8919 17.0579 18.862 53.8117
16000 20.8049 19.5484 21.5387 61.892
18000 23.9728 22.0825 23.4323 69.4876
20000 25.833 24.2186 25.2636 75.3152
22000 29.0014 26.52 28.3706 83.892
24000 31.7321 29.2814 30.8515 91.8649
26000 34.2608 31.652 32.7975 98.7102
28000 36.192 34.2198 35.5774 105.989
30000 37.3302 35.9828 38.0183 111.331
32000 39.681 39.2786 40.7204 119.68
34000 42.0792 41.7935 42.6933 126.566
36000 44.0277 44.6938 44.3496 133.071
38000 45.9564 47.8966 45.6839 139.537
40000 48.9295 49.9123 48.4622 147.304
42000 51.6474 51.9206 49.9983 153.566
44000 54.8353 53.7813 52.7116 161.328
46000 56.7196 58.5627 56.0559 171.338
48000 59.5158 61.4511 58.4989 179.466
50000 62.0473 64.0472 60.7569 186.851
52000 64.8924 66.4416 62.6948 194.029
54000 67.3384 68.2541 65.4657 201.058
56000 70.7295 72.2117 68.8696 211.811
58000 72.7794 75.3269 71.6306 219.737
60000 74.5215 79.2689 73.6919 227.482
62000 75.6891 81.5224 75.7585 232.97
64000 78.0295 84.8458 78.5464 241.422
66000 81.9885 87.396 80.8786 250.263
68000 84.7894 89.754 83.3264 257.87
70000 87.7612 93.4908 85.6077 266.86
72000 89.1167 96.5048 87.5449 273.166
74000 91.9837 98.3931 89.4393 279.816
76000 95.2741 101.295 91.8052 288.374
78000 96.5798 103.466 95.6358 295.682
80000 100.101 106.582 97.9638 304.646
82000 102.597 109.984 99.7117 312.292
84000 104.767 112.141 103.119 320.027
86000 107.387 115.582 105.768 328.737
88000 108.94 117.1 108.575 334.616
90000 112.106 119.631 111.702 343.439
92000 117.113 123.879 113.902 354.894
94000 121.229 125.719 116.05 362.999
96000 124.743 127.472 120.456 372.67
98000 127.223 129.746 124.068 381.038
100000 129.092 130.385 125.899 385.376
102000 132.756 132.65 129.705 395.111
104000 134.941 136.291 132.887 404.119
106000 137.691 138.297 136.831 412.82
108000 140.882 141.129 138.314 420.325
110000 143.845 142.854 141.049 427.748
112000 147.065 144.884 143.46 435.409
114000 148.999 147.874 147.876 444.749
116000 149.933 150.242 150.296 450.471
118000 152.959 151.69 151.984 456.632
120000 155.608 154.179 154.049 463.836
122000 158.591 157.43 156.26 472.281
124000 160.425 159.149 160.196 479.769
126000 162.551 159.618 162.937 485.106
128000 163.58 162.139 164.521 490.241
130000 165.188 163.664 167.195 496.046
132000 166.897 166.004 168.033 500.934
134000 170.476 166.699 171.43 508.604
136000 172.846 169.243 174.844 516.933
138000 173.465 171.768 176.446 521.679
140000 176.254 173.598 180.771 530.623
142000 178.811 177.463 182.705 538.979
144000 180.691 180.295 185.112 546.098
146000 182.282 182.513 188.887 553.682
148000 182.958 184.85 190.49 558.297
150000 184.377 186.323 193.285 563.986
152000 188.075 187.594 196.287 571.956
154000 190.313 191.011 198.73 580.054
156000 192.297 193.391 199.3 584.987
158000 193.822 198.003 204.067 595.892
160000 197.984 200.353 207.245 605.583
162000 199.593 203.511 210.712 613.816
164000 202.251 204.692 214.891 621.834
166000 204.638 207.477 217.143 629.259
168000 205.58 210.76 219.618 635.957
170000 209.901 212.819 223.428 646.148
172000 211.508 215.723 224.226 651.457
174000 214.987 217.374 224.953 657.313
176000 218.89 219.791 227.978 666.659
178000 223.499 221.169 229.283 673.951
180000 225.976 223.227 230.664 679.866
182000 229.044 226.807 233.846 689.696
184000 230.394 228.164 237.007 695.566
186000 232.552 232.505 238.637 703.694
188000 237.128 232.564 240.712 710.404
190000 241.059 233.529 243.85 718.438
192000 244.227 235.03 246.127 725.384
194000 246.94 238.168 250.615 735.722
196000 248.784 241.711 252.418 742.913
198000 252.016 243.281 255.183 750.48
200000 254.394 245.482 256.816 756.692
202000 256.707 246.299 259.132 762.139
204000 259.935 248.083 262.546 770.564
206000 261.484 250.349 264.644 776.477
208000 265.315 252.483 269.515 787.312
210000 269.601 256.011 273.197 798.809
212000 271.271 259.23 278.784 809.286
214000 276.066 261.653 279.314 817.033
216000 279.953 265.211 287.639 832.803
218000 285.093 267.187 288.254 840.534
220000 286.001 271.104 291.274 848.379
222000 288.35 272.894 293.395 854.639
224000 290.552 273.745 293.926 858.224
226000 291.558 281.506 295.15 868.214
228000 292.161 284.558 297.671 874.391
230000 294.823 287.386 301.343 883.552
232000 299.747 289.877 303.332 892.956
234000 300.496 292.909 307.29 900.695
236000 304.124 296.354 308.906 909.385
238000 307.926 300.523 310.831 919.28
240000 310.024 301.267 312.49 923.781
242000 312.061 302.726 315.748 930.535
244000 312.842 303.872 317.49 934.203
246000 316.904 307.434 319.765 944.102
248000 321.17 311.692 321.068 953.929
250000 325.457 314.645 323.517 963.619
252000 326.36 313.95 326.239 966.55
254000 327.173 315.775 328.201 971.149
256000 331.098 319.571 330.214 980.882
258000 333.673 323.275 333.155 990.103
260000 334.682 325.766 335.521 995.969
262000 335.18 327.816 338.713 1001.71
264000 337.848 330.808 342.674 1011.33
266000 342.95 334.683 348.674 1026.31
268000 344.848 336.941 351.867 1033.66
270000 346.349 342.805 356.674 1045.83
272000 348.522 346.783 365.365 1060.67
274000 348.417 347.001 367.281 1062.7
276000 353.476 347.273 370.009 1070.76
278000 355.817 350.389 371.901 1078.11
280000 358.809 352.187 374.143 1085.14
282000 361.478 354.399 378.465 1094.34
284000 361.55 357.007 379.893 1098.45
286000 365.08 357.781 381.583 1104.44
288000 367.091 357.184 383.804 1108.08
290000 371.85 360.933 384.253 1117.04
292000 376.517 364.075 389.251 1129.84
294000 379.692 366.643 392.531 1138.87
296000 379.187 367.883 393.882 1140.95
298000 383.141 370.586 396.014 1149.74
300000 385.033 374.937 398.172 1158.14
302000 387.93 375.822 402.185 1165.94
304000 388.475 378.834 403.927 1171.24
306000 391.795 383.31 403.265 1178.37
308000 396.175 386.918 404.387 1187.48
310000 400.049 389.768 405 1194.82
312000 404.48 392.722 406.091 1203.29
314000 404.67 396.287 406.306 1207.26
316000 406.452 400.337 405.667 1212.46
318000 410.16 402.969 409.035 1222.16
320000 414.624 405.782 412.224 1232.63
322000 417.893 408.547 412.225 1238.67
324000 420.714 413.04 415.844 1249.6
326000 423.127 415.025 421.228 1259.38
328000 427.011 416.397 422.181 1265.59
330000 429.788 416.563 425.017 1271.37
332000 433.044 417.767 427.099 1277.91
334000 436.448 418.796 430.181 1285.42
336000 436.783 421.567 430.73 1289.08
338000 439.228 425.304 430.061 1294.59
340000 441.366 429.711 430.132 1301.21
342000 445.437 435.965 432.383 1313.79
344000 446.523 438.344 435.225 1320.09
346000 449.958 438.218 438.255 1326.43
348000 454.159 440.267 441.448 1335.87
350000 457.808 443.117 443.107 1344.03
352000 459.749 445.743 443.073 1348.57
354000 461.421 448.821 443.849 1354.09
356000 462.871 451.442 447.323 1361.64
358000 467.237 455.865 448.951 1372.05
360000 471.312 458.595 450.328 1380.24
362000 474.49 460.995 454.437 1389.92
364000 476.62 462.114 458.608 1397.34
366000 478.642 463.129 459.066 1400.84
368000 481.351 466.617 461.91 1409.88
370000 483.719 469.041 464.217 1416.98
372000 484.439 468.375 465.272 1418.09
374000 488.192 472.161 469.975 1430.33
376000 491.488 475.713 473.931 1441.13
378000 493.974 477.579 476.314 1447.87
380000 496.524 481.533 479.109 1457.17
382000 498.102 484.183 481.906 1464.19
384000 498.959 486.697 482.29 1467.95
386000 497.576 489.978 487.298 1474.85
388000 499.88 491.823 493.054 1484.76
390000 504.481 494.612 498.603 1497.7
392000 506.708 496.422 502.132 1505.26
394000 511.435 498.113 504.139 1513.69
396000 510.266 497.937 505.079 1513.28
398000 516.502 503.182 507.093 1526.78
400000 518.817 505.748 510.093 1534.66
402000 522.334 509.891 511.035 1543.26
404000 522.329 511.427 518.362 1552.12
406000 526.664 514.605 521.474 1562.74
408000 530.065 514.968 523.208 1568.24
410000 529.206 517.437 522.915 1569.56
412000 531.807 517.963 521.914 1571.68
414000 533.928 520.056 525.158 1579.14
416000 536.724 522.53 532.881 1592.13
418000 539.625 525.176 538.879 1603.68
420000 540.905 527.134 541.751 1609.79
422000 544.497 527.054 544.794 1616.34
424000 546.824 528.837 544.535 1620.2
426000 548.004 529.195 546.266 1623.47
428000 549.2 531.953 551.492 1632.65
430000 552.804 538.566 554.217 1645.59
432000 554.425 542.019 556.058 1652.5
434000 554.194 543.886 559.479 1657.56
436000 557.499 548.864 562.58 1668.94
438000 559.163 550.278 563.378 1672.82
440000 563.259 552.041 567.099 1682.4
442000 565.676 554.173 569.041 1688.89
444000 566.506 556.655 574.182 1697.34
446000 566.053 562.886 576.594 1705.53
448000 568.567 564.88 578.312 1711.76
450000 571.794 566.483 582.285 1720.56
452000 575.272 566.156 587.104 1728.53
454000 576.472 565.115 589.882 1731.47
456000 575.646 565.349 595.29 1736.29
458000 576.062 565.993 599.185 1741.24
460000 578.723 568.587 602.587 1749.9
462000 582.522 571.513 605.117 1759.15
464000 588.876 573.062 606.528 1768.47
466000 591.65 578.06 611.642 1781.35
468000 591.125 581.216 615.559 1787.9
470000 595.541 585.017 619.29 1799.85
472000 595.364 586.679 624.946 1806.99
474000 594.919 588.009 626.493 1809.42
476000 599.189 588.712 627.152 1815.05
478000 601.77 587.629 629.821 1819.22
480000 603.713 589.95 630.509 1824.17
482000 603.081 593.129 634.349 1830.56
484000 608.445 597.716 636.235 1842.4
486000 611.192 599.695 639.836 1850.72
488000 613.68 602.695 640.201 1856.58
