# Time-averaged data for fix savemsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 8.76512e-32 0 2.56471e-29 2.57348e-29
2000 2.9895 2.95839 2.93088 8.87876
4000 5.84088 6.2671 6.42039 18.5284
6000 8.16747 8.91873 8.82159 25.9078
8000 11.0504 11.824 12.0062 34.8806
10000 14.5624 14.6854 14.704 43.9517
12000 17.3001 17.7907 17.7752 52.8661
14000 20.2857 20.7749 20.7105 61.7711
16000 22.9228 24.0678 24.5253 71.5159
18000 25.8876 27.5675 27.1191 80.5742
20000 28.6675 31.371 29.8641 89.9027
22000 31.9076 34.7308 33.4071 100.046
24000 35.3153 38.4268 36.2695 110.012
26000 38.3433 41.7185 39.3901 119.452
28000 41.5021 45.3233 42.694 129.519
30000 45.0815 47.316 45.4481 137.846
32000 48.4559 49.3214 48.39 146.167
34000 52.2024 51.7704 51.5302 155.503
36000 55.2127 54.225 53.1169 162.555
38000 58.3468 57.0271 55.969 171.343
40000 59.2542 59.8564 57.7825 176.893
42000 62.0584 63.0753 61.0714 186.205
44000 64.9229 65.9723 64.2311 195.126
46000 67.8647 68.4605 66.1407 202.466
48000 69.511 72.3771 68.1387 210.027
50000 72.0036 74.5361 70.1696 216.709
52000 76.0777 77.6302 72.9792 226.687
54000 79.1102 80.4603 74.8853 234.456
56000 81.3486 83.1895 78.1428 242.681
58000 83.8447 86.74 79.8666 250.451
60000 86.0266 89.9631 84.234 260.224
62000 88.7272 92.8615 87.9209 269.51
64000 90.6925 94.0935 91.9113 276.697
66000 94.2297 96.5195 95.256 286.005
68000 97.3678 99.7729 98.2907 295.431
70000 100.501 103.439 101.114 305.054
72000 104.371 106.648 103.494 314.513
74000 108.211 110.802 106.688 325.701
76000 110.643 115.494 110.013 336.151
78000 112.6 118.237 113.431 344.268
80000 115.015 119.634 116.136 350.785
82000 118.258 122.059 119.596 359.913
84000 120.782 124.787 123.373 368.941
86000 124.04 126.393 125.41 375.843
88000 126.446 127.52 129.592 383.557
90000 130.125 130.938 130.861 391.924
92000 133.794 134.259 131.59 399.642
94000 135.707 137.227 135.449 408.384
96000 139.108 139.197 138.153 416.458
98000 141.581 142.252 141.753 425.586
100000 142.291 144.571 144.423 431.286
102000 143.968 145.797 146.943 436.708
104000 148.632 148.578 149.216 446.427
106000 153.142 154.561 151.415 459.118
108000 155.366 157.428 154.275 467.07
110000 157.914 159.158 156.754 473.826
112000 161.596 163.944 160.161 485.701
114000 163.543 167.13 164.094 494.768
116000 163.89 166.922 168.51 499.322
118000 167.198 168.733 170.729 506.66
120000 170.914 172.651 175.354 518.919
122000 173.134 175.154 178.298 526.587
124000 176.006 177.638 180.933 534.577
126000 178.288 179.466 183.792 541.546
128000 179.583 183.145 184.436 547.164
130000 180.111 188.168 187.782 556.061
132000 182.145 192.025 191.272 565.442
134000 184.212 195.978 190.83 571.02
136000 186.602 196.124 193.388 576.113
138000 187.096 198.016 195.226 580.337
140000 189.696 199.743 198.928 588.366
142000 192.126 201.535 198.908 592.57
144000 196.02 203.648 200.918 600.586
146000 199.257 208.009 205.749 613.015
148000 201.346 209.269 209.777 620.392
150000 203.281 213.464 210.584 627.329
152000 203.489 215.435 212.462 631.386
154000 205.078 217.954 216.075 639.107
156000 208.074 223.236 217.526 648.837
158000 210.651 224.398 219.996 655.046
160000 213.255 226.29 223.304 662.849
162000 216.019 228.464 225.505 669.988
164000 218.599 232.57 226.036 677.205
166000 222.004 236.321 229.278 687.603
168000 225.565 238.26 235.53 699.355
170000 227.791 240.904 237.64 706.334
172000 230.182 243.846 242.702 716.73
174000 233.191 247.597 244.258 725.046
176000 235.568 251.035 244.808 731.411
178000 239.963 254.011 248.773 742.747
180000 241.704 255.274 248.869 745.847
182000 244.493 257.408 253.234 755.135
184000 249.412 262.007 257.013 768.432
186000 253.782 266.164 261.979 781.925
188000 258.956 268.214 264.777 791.947
190000 259.822 272.206 268.619 800.647
192000 260.217 272.993 269.88 803.09
194000 261.874 273.962 272.254 808.09
196000 265.657 277.691 275.62 818.968
198000 269.483 281.414 277.711 828.608
200000 272.366 283.357 280.854 836.577
202000 273.442 284.968 285.452 843.862
204000 274.737 287.63 287.676 850.043
206000 277.684 291.498 292.749 861.932
208000 282.084 294.985 295.393 872.463
210000 286.703 301.076 298.764 886.543
212000 290.134 302.415 299.638 892.186
214000 289.233 304.192 303.424 896.849
216000 289.477 307.05 309.274 905.8
218000 293.717 309.623 312.941 916.282
220000 296.092 310.777 316.148 923.017
222000 301.295 314.59 322.555 938.439
224000 302.239 319.118 326.19 947.548
226000 308.059 322.453 329.032 959.544
228000 311.903 324.984 331.12 968.007
230000 311.08 326.756 334.343 972.178
232000 314.899 329.711 336.58 981.19
234000 317.339 333.579 337.789 988.707
236000 320.108 338.444 340.915 999.467
238000 321.137 342.408 345.97 1009.52
240000 322.063 342.122 348.51 1012.69
242000 325.303 347.332 348.85 1021.48
244000 326.677 347.279 350.31 1024.27
246000 330.27 349.705 352.921 1032.9
248000 334.043 353.376 354.157 1041.58
250000 335.079 359.002 356.423 1050.5
252000 340.937 361.218 361.044 1063.2
254000 342.047 364.507 362.018 1068.57
256000 345.888 369.491 365.92 1081.3
258000 348.448 373.49 367.881 1089.82
260000 352.649 377.779 370.555 1100.98
262000 358.202 379.655 374.146 1112
264000 363.186 382.471 376.86 1122.52
266000 366.428 386.423 378.015 1130.87
268000 367.484 387.384 380.821 1135.69
270000 371.261 388.464 382.958 1142.68
272000 375.522 390.808 388.637 1154.97
274000 376.656 396.147 394.31 1167.11
276000 380.81 399.683 396.337 1176.83
278000 384.079 401.582 396.644 1182.31
280000 387.682 405.202 400.882 1193.77
282000 392.513 403.478 405.148 1201.14
284000 395.679 408.2 409.275 1213.15
286000 398.81 411.52 414.997 1225.33
288000 402.112 416.019 419.433 1237.56
290000 406.389 420.926 424.335 1251.65
292000 406.963 425.804 428.056 1260.82
294000 408.281 429.54 431.189 1269.01
296000 410.564 434.62 438.388 1283.57
298000 413.986 436.947 443.069 1294
300000 415.745 437.763 447.312 1300.82
302000 420.769 439.232 452.701 1312.7
304000 421.156 441.105 454.962 1317.22
306000 426.07 446.796 458.184 1331.05
308000 427.833 450.606 459.204 1337.64
310000 429.834 456.862 463.246 1349.94
312000 432.912 462.108 468.903 1363.92
314000 436.992 466.028 471.084 1374.1
316000 439.612 468.329 476.152 1384.09
318000 445.011 471.854 483.122 1399.99
320000 449.351 471.411 486.694 1407.46
322000 453.584 474.843 491.188 1419.62
324000 455.937 476.352 495.773 1428.06
326000 459.928 478.414 497.843 1436.18
328000 463.115 481.114 500.473 1444.7
330000 466.327 484.31 504.948 1455.58
332000 468.954 488.344 506.878 1464.18
334000 470.583 489.395 510.208 1470.19
336000 472.899 492.98 514.26 1480.14
338000 475.441 493.227 517.723 1486.39
340000 480.089 495.273 520.105 1495.47
342000 485.132 500.296 519.737 1505.17
344000 489.428 504.183 520.765 1514.38
346000 493.008 505.117 525.961 1524.09
348000 493.968 509.674 530.254 1533.9
350000 498.855 512.217 533.446 1544.52
352000 501.099 512.941 538.464 1552.5
354000 502.46 515.429 538.932 1556.82
356000 504.502 522.711 538.742 1565.96
358000 506.122 526.408 543.991 1576.52
360000 509.514 527.465 546.799 1583.78
362000 511.042 530.982 548.9 1590.92
364000 516.993 532.656 553.057 1602.71
366000 518.506 535.696 551.204 1605.41
368000 522.464 537.403 554.225 1614.09
370000 524.543 545.37 557.439 1627.35
372000 526.951 545.97 559.592 1632.51
374000 529.753 553.507 561.712 1644.97
376000 531.636 556.773 564.068 1652.48
378000 534.071 558.847 565.023 1657.94
380000 536.341 560.966 568.261 1665.57
382000 537.564 564.987 573.061 1675.61
384000 539.751 569.586 575.099 1684.44
386000 544.236 572.152 575.417 1691.8
388000 548.756 576.336 580.915 1706.01
390000 551.097 579.009 582.448 1712.55
392000 555.762 581.041 586.565 1723.37
394000 555.286 583.381 586.692 1725.36
396000 559.056 584.878 590.006 1733.94
398000 561.868 589.883 591.609 1743.36
400000 567.693 592.349 593.822 1753.86
402000 569.358 597.703 592.709 1759.77
404000 574.236 602.512 594.31 1771.06
406000 575.656 606.021 593.447 1775.12
408000 577.82 610.303 599.345 1787.47
410000 578.409 613.983 603.155 1795.55
412000 580.869 617.919 605.751 1804.54
414000 579.376 623.756 604.73 1807.86
416000 584.551 625.194 606.851 1816.6
418000 585.901 630.326 613.4 1829.63
420000 587.466 632.93 614.346 1834.74
422000 591.61 636.757 617.678 1846.04
424000 595.568 638.132 624.439 1858.14
426000 598.506 640.287 628.574 1867.37
428000 603.34 645.157 630.221 1878.72
430000 602.443 653.443 631.753 1887.64
432000 600.913 656.468 632.119 1889.5
434000 599.906 656.732 638.482 1895.12
436000 604.659 658.195 642.026 1904.88
438000 610.898 661.208 647.876 1919.98
440000 613.211 661.773 649.511 1924.5
442000 619.439 667.716 652.065 1939.22
444000 622.322 672.376 655.12 1949.82
446000 623.92 673.361 656.341 1953.62
448000 630.538 677.158 660.04 1967.74
450000 633.247 683.966 660.11 1977.32
452000 634.409 688.622 664.873 1987.9
454000 637.608 691.977 668.416 1998
456000 639.736 698.254 667.342 2005.33
458000 642.959 702.557 673.364 2018.88
460000 646.461 705.278 673.879 2025.62
462000 647.303 712.309 671.703 2031.31
464000 649.813 717.367 676.202 2043.38
466000 654.786 721.863 680.096 2056.74
468000 655.53 724.736 686.989 2067.26
470000 658.14 727.288 690.847 2076.28
472000 659.706 733.8 694.442 2087.95
474000 661.095 734.361 701.327 2096.78
476000 665.233 737.988 707.962 2111.18
478000 667.013 741.565 708.422 2117
480000 670.016 742.852 707.221 2120.09
482000 672.205 739.914 713.536 2125.66
484000 676.091 748.902 715.897 2140.89
486000 678.527 750.298 715.281 2144.1
488000 681.079 753.705 714.994 2149.78
490000 690.732 753.358 719.658 2163.75
492000 695.983 755.851 723.369 2175.2
494000 697.215 758.113 726.898 2182.23
496000 697.555 761.97 727.371 2186.9
498000 696.824 763.026 734.635 2194.48
500000 702.269 768.797 740.807 2211.87
502000 708.343 767.976 742.614 2218.93
504000 712.835 771.512 744.87 2229.22
506000 715.72 776.47 750.378 2242.57
508000 719.493 784.453 749.7 2253.65
510000 724.113 786.399 754.722 2265.23
512000 728.671 791.864 760.007 2280.54
514000 737.232 790.552 760.907 2288.69
516000 738.191 793.13 761.043 2292.36
518000 742.593 795.368 762.887 2300.85
520000 745.049 800.906 766.81 2312.77
522000 747.553 805.109 772.677 2325.34
524000 748.981 811.14 777.008 2337.13
526000 748.058 812.53 778.145 2338.73
528000 753.478 814.012 778.338 2345.83
530000 759.077 811.266 786.023 2356.37
532000 765.88 817.406 790.173 2373.46
534000 771.194 821.532 795.073 2387.8
536000 775.066 826.599 796.086 2397.75
538000 778.609 831.91 794.17 2404.69
540000 783.613 834.385 798.415 2416.41
542000 786.488 838.75 804.192 2429.43
544000 789.135 841.517 802.964 2433.62
546000 793.344 841.574 803.959 2438.88
548000 796.418 845.956 806.018 2448.39
550000 798.148 849.878 809.355 2457.38
552000 801.444 851.059 813.218 2465.72
554000 801.327 852.019 817.53 2470.88
556000 808.081 854.14 822.051 2484.27
558000 813.775 853.82 825.14 2492.73
560000 816.488 855.005 829.355 2500.85
562000 819.19 857.71 834.899 2511.8
564000 820.922 861.923 835.866 2518.71
566000 823.134 868.446 836.538 2528.12
568000 823.308 871.989 841.612 2536.91
570000 829.011 879.439 846.925 2555.38
572000 829.489 884.288 852.848 2566.62
574000 838.901 887.962 858.145 2585.01
576000 844.465 890.564 865.031 2600.06
578000 844.946 895.989 868.248 2609.18
580000 848.86 897.197 867.95 2614.01
582000 855.182 901.046 870.598 2626.83
584000 859.108 901.036 874.84 2634.98
586000 863.475 906.725 876.103 2646.3
588000 868.814 908.712 882.377 2659.9
590000 868.249 912.094 884.933 2665.28
592000 874.385 917.123 889 2680.51
594000 872.485 922.922 894.485 2689.89
596000 874.173 925.59 896.83 2696.59
598000 875.705 927.133 906.994 2709.83
600000 878.71 927.994 905.961 2712.67
