# Time-averaged data for fix savemsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 1.82607e-33 0 1.82607e-33 3.65213e-33
2000 4.19239 4.3582 4.54338 13.094
4000 8.49724 8.7339 9.19544 26.4266
6000 13.1174 12.6762 13.9494 39.7431
8000 17.926 17.2903 17.8176 53.0338
10000 22.4418 21.1207 23.4486 67.0112
12000 26.5177 25.6713 26.7503 78.9393
14000 31.0552 31.0003 31.4908 93.5463
16000 35.0657 35.0088 35.8836 105.958
18000 38.2177 40.6305 40.3349 119.183
20000 44.0191 46.2874 45.6146 135.921
22000 49.0221 50.6159 48.5896 148.227
24000 52.4898 54.6887 53.5914 160.77
26000 57.0496 58.8339 58.5676 174.451
28000 60.1611 61.9284 62.1252 184.215
30000 64.3359 66.1092 66.2015 196.647
32000 68.663 71.1015 70.0074 209.772
34000 72.9968 76.3564 75.0404 224.394
36000 77.8757 79.3433 77.8996 235.119
38000 82.6754 83.1852 81.8548 247.716
40000 88.9171 87.3037 86.721 262.942
42000 92.3694 89.5604 90.2371 272.167
44000 95.9326 94.5096 94.851 285.293
46000 98.5333 99.6414 100.683 298.858
48000 101.518 103.705 104.467 309.689
50000 106.78 107.362 106.595 320.736
52000 111.837 113.158 110.322 335.317
54000 116.307 117.506 114.483 348.296
56000 119.825 119.356 118.875 358.057
58000 122.238 127.277 124.229 373.744
60000 126.3 132.7 127.153 386.153
62000 129.743 137.932 130.515 398.189
64000 134.18 144.238 134.79 413.208
66000 138.932 146.421 137.711 423.064
68000 142.347 151.245 142.587 436.179
70000 147.676 156.29 146.621 450.588
72000 152.699 161.44 151.326 465.464
74000 158.486 167.409 155.833 481.728
76000 162.792 173.312 162.18 498.283
78000 167.107 178.991 165.043 511.141
80000 173.579 188.011 168.05 529.64
82000 177.776 191.819 171.232 540.827
84000 181.717 200.13 175.054 556.902
86000 187.751 206.238 177.067 571.056
88000 195.307 213.868 180.706 589.881
90000 201.463 221.256 183.554 606.274
92000 205.64 223.326 189.134 618.1
94000 212.039 226.712 193.614 632.365
96000 219.278 234.248 196.44 649.967
98000 223.859 237.028 203.079 663.966
100000 229.254 241.23 209.608 680.093
102000 231.447 248.895 215.698 696.039
104000 235.859 254.541 222.175 712.576
106000 243.511 261.22 228.719 733.451
108000 250.717 265.592 235.094 751.403
110000 256.661 269.768 235.698 762.127
112000 258.504 277.51 242.141 778.155
114000 261.436 285.54 248.37 795.347
116000 267.236 292.598 251.887 811.721
118000 272.962 294.642 251.998 819.602
120000 276.882 300.779 254.673 832.333
122000 282.976 306.252 260.845 850.073
124000 287.329 310.214 263.347 860.89
126000 296.449 313.195 269.57 879.215
128000 301.128 317.155 273.004 891.288
130000 303.501 323.182 277.896 904.579
132000 307.319 328.213 281.065 916.598
134000 310.219 332.159 284.787 927.165
136000 311.245 337.822 288.757 937.824
138000 316.97 336.185 289.364 942.519
140000 320.886 341.019 294.32 956.224
142000 322.543 349.101 299.322 970.966
144000 325.446 355.385 305.156 985.987
146000 333.503 358.724 311.299 1003.53
148000 339.001 363.86 316.506 1019.37
150000 346.323 366.416 318.887 1031.63
152000 353.491 370.436 320.041 1043.97
154000 357.017 376.281 319.721 1053.02
156000 362.337 379.599 325.45 1067.39
158000 368.391 389.101 329.359 1086.85
160000 370.516 394.143 334.29 1098.95
162000 376.155 398.756 341.946 1116.86
164000 381.991 405.693 344.702 1132.39
166000 387.841 413.899 346.166 1147.91
168000 390.976 417.189 353.778 1161.94
170000 395.145 423.781 356.563 1175.49
172000 398.735 429.155 362.135 1190.02
174000 401.657 434.743 366.731 1203.13
176000 402.182 442.368 371.209 1215.76
178000 406.42 447.344 373.036 1226.8
180000 408.452 446.722 377.803 1232.98
182000 414.968 452.068 378.091 1245.13
184000 421.482 457.362 380.811 1259.65
186000 427.194 462.924 386.408 1276.53
188000 431.955 467.709 390.227 1289.89
190000 437.648 474.672 393.178 1305.5
192000 442.684 479.553 399.201 1321.44
194000 444.775 489.468 402.466 1336.71
