# Time-averaged data for fix savemsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 1.08523e-29 4.08309e-30 3.10431e-32 1.49664e-29
2000 3.02189 2.8015 3.09815 8.92154
4000 6.40399 5.73196 5.92078 18.0567
6000 10.1732 8.92353 8.87442 27.9711
8000 12.7273 11.6989 12.2922 36.7183
10000 16.5263 14.9583 14.8744 46.3591
12000 20.3264 18.5946 18.1616 57.0827
14000 22.8769 21.8643 21.4294 66.1705
16000 26.5742 24.0829 24.3947 75.0518
18000 29.8926 27.1104 28.076 85.0791
20000 32.9889 30.973 31.0923 95.0542
22000 36.0912 33.118 35.2212 104.43
24000 38.9557 35.6519 38.0494 112.657
26000 41.3859 38.7175 40.6295 120.733
28000 44.3564 41.5564 43.2917 129.205
30000 46.9748 44.2862 46.4695 137.731
32000 49.5649 46.2794 50.5259 146.37
34000 52.6997 49.0463 52.734 154.48
36000 53.9861 50.7806 56.3771 161.144
38000 57.2155 54.1097 59.0249 170.35
40000 59.2389 56.6023 61.7793 177.62
42000 62.0375 60.5882 65.4387 188.064
44000 66.4151 63.7494 68.2994 198.464
46000 70.3302 66.996 72.2816 209.608
48000 73.9937 69.273 75.1603 218.427
50000 77.7519 71.6853 78.3545 227.792
52000 80.8625 74.757 81.4298 237.049
54000 84.4108 79.0041 84.9569 248.372
56000 87.3058 82.9754 88.4895 258.771
58000 89.2289 85.6975 93.1791 268.106
60000 92.8102 89.4652 96.29 278.565
62000 96.6875 93.1357 99.0162 288.839
64000 99.5492 95.8906 102.256 297.696
66000 102.683 97.8149 104.564 305.062
68000 106.401 101.034 107.747 315.182
70000 109.806 102.404 109.423 321.633
72000 111.526 105.798 112.711 330.036
74000 116.747 109.464 115.28 341.49
76000 120.292 111.344 117.851 349.488
78000 122.762 115.239 121.023 359.024
80000 126.11 116.539 123.734 366.383
82000 131.137 118.267 126.537 375.941
84000 134.648 119.225 129.751 383.624
86000 138.842 121.155 132.577 392.574
88000 144.368 125.014 136.519 405.901
90000 147.598 126.621 139.137 413.357
92000 151.013 129.946 141.772 422.732
94000 152.122 130.636 142.884 425.642
96000 154.813 133.002 145.98 433.795
98000 157.785 136.026 151.077 444.888
100000 159.598 139.656 153.839 453.094
102000 161.796 141.224 157.741 460.761
104000 163.645 145.022 161.955 470.622
106000 167.384 146.397 163.615 477.397
108000 170.668 148.029 166.698 485.396
110000 174.233 150.005 169.931 494.169
112000 176.499 155.023 172.698 504.22
114000 179.118 159.002 177.039 515.159
116000 181.45 163.648 177.828 522.926
118000 184.054 166.984 181.311 532.349
120000 189.276 169.464 183.81 542.55
122000 192.778 173.539 187.259 553.576
124000 195.57 174.874 189.403 559.847
126000 199.118 178.715 192.506 570.34
128000 202.291 182.652 196.124 581.067
130000 205.623 184.789 199.89 590.303
132000 208.943 187.176 203.849 599.969
134000 212.077 190.269 207.901 610.247
136000 214.599 192.05 211.2 617.849
138000 216.324 194.532 215.906 626.762
140000 222.425 196.342 218.1 636.867
142000 225.744 198.65 221.09 645.484
144000 231.195 200.451 225.182 656.828
146000 234.824 205.217 227.962 668.002
148000 238.06 207.18 229.926 675.166
150000 239.154 206.45 231.489 677.093
152000 239.419 208.877 232.262 680.558
154000 243.494 212.397 233.522 689.413
156000 244.596 214.727 237.225 696.549
158000 250.287 218.491 243.471 712.249
160000 254.69 222.828 245.884 723.402
162000 257.936 224.805 248.135 730.875
164000 260.154 228.55 251.796 740.5
166000 264.285 228.258 256.054 748.598
168000 266.696 230.696 260.268 757.66
170000 272.134 234.489 262.767 769.389
172000 274.553 239.172 264.836 778.561
174000 277.356 240.386 271.259 789.001
176000 282.902 243.573 274.225 800.7
178000 285.254 248.024 274.809 808.087
180000 287.564 250.863 277.466 815.893
182000 289.803 254.285 280.933 825.021
184000 290.539 255.687 284.341 830.567
186000 295.435 257.404 285.053 837.892
188000 297.091 261.022 287.024 845.137
190000 303.769 263.244 289.38 856.393
192000 306.999 265.745 292.111 864.855
194000 310.218 270.566 295.057 875.84
196000 310.658 275.837 296.639 883.133
198000 313.297 277.66 301.32 892.277
200000 315.769 281.523 302.374 899.665
202000 318.773 281.659 308.352 908.784
204000 322.528 282.649 310.487 915.664
206000 322.967 282.428 313.296 918.691
208000 326.709 283.61 317.418 927.736
210000 329.413 286.915 321.205 937.532
212000 332.413 288.859 323.873 945.145
214000 337.28 292.24 325.531 955.051
216000 341.7 294.953 330.012 966.664
218000 347.365 299.32 335.153 981.839
220000 351.111 303.84 339.867 994.818
222000 353.142 307.105 345.407 1005.65
224000 356.679 307.693 350.148 1014.52
226000 359.365 310.065 353.696 1023.13
228000 362.571 312.032 356.19 1030.79
230000 365.5 316.635 357.27 1039.4
232000 367.932 321.541 360.786 1050.26
234000 370.159 323.948 364.955 1059.06
236000 373.909 326.107 367.596 1067.61
238000 374.223 329.141 373.937 1077.3
240000 373.699 331.953 374.556 1080.21
242000 379.488 335.534 373.926 1088.95
244000 382.537 337.444 378.589 1098.57
246000 382.854 340.188 384.227 1107.27
248000 388.858 342.277 389.657 1120.79
250000 391.649 343.986 393.763 1129.4
252000 394.311 346.172 398.663 1139.15
254000 398.537 350.143 400.361 1149.04
256000 402.738 351.424 403.415 1157.58
258000 410.184 352.91 409.091 1172.18
260000 411.898 355.922 410.573 1178.39
262000 417.589 361.71 414.511 1193.81
264000 421.589 364.962 414.799 1201.35
266000 424.098 366.061 417.085 1207.24
268000 425.628 365.833 422.056 1213.52
270000 427.55 366.203 422.611 1216.37
272000 428.293 369.103 422.897 1220.29
274000 434.52 372.039 430.493 1237.05
276000 437.389 373.666 431.501 1242.56
278000 442.865 376.199 435.709 1254.77
280000 444.286 380.227 437.781 1262.29
282000 447.531 382.909 442.125 1272.56
284000 450.052 386.842 443.287 1280.18
286000 450.124 391.884 444.565 1286.57
288000 455.218 396.601 445.729 1297.55
290000 461.095 400.094 447.578 1308.77
292000 465.052 402.341 454.377 1321.77
294000 469.425 402.701 461.828 1333.95
296000 473.277 405.323 468.5 1347.1
298000 477.189 409.171 472.757 1359.12
300000 480.716 409.107 475.129 1364.95
302000 483.805 410.722 479.011 1373.54
304000 486.114 416.673 483.042 1385.83
306000 487.063 420.568 487.803 1395.43
308000 491.498 424.916 490.145 1406.56
310000 493.896 425.862 490.527 1410.28
312000 498.708 430.194 494.229 1423.13
314000 501.952 431.903 495.731 1429.59
316000 506.824 434.693 501.048 1442.57
318000 513.186 438.299 504.449 1455.93
320000 514.284 441.606 508.055 1463.95
322000 518.001 444.72 513.773 1476.49
324000 518.505 446.578 510.982 1476.07
326000 521.919 449.549 513.41 1484.88
328000 524.548 450.854 515.916 1491.32
330000 525.021 452.269 522.52 1499.81
332000 526.003 454.855 526.141 1507
334000 527.106 458.109 526.559 1511.77
336000 533.094 463.612 526.357 1523.06
338000 537.62 465.923 526.156 1529.7
340000 542.437 467.592 527.917 1537.95
342000 543.496 469.69 530.196 1543.38
344000 546.208 472.371 534.77 1553.35
346000 548.351 474.682 534.471 1557.5
348000 550.03 475.391 538.246 1563.67
350000 554.252 478.829 542.613 1575.69
352000 557.801 479.401 548.557 1585.76
354000 558.999 482.727 554.215 1595.94
356000 562.294 482.043 561.346 1605.68
358000 564.034 486.004 562.732 1612.77
360000 565.502 485.336 565.126 1615.96
362000 565.642 485.217 565.59 1616.45
364000 569.521 490.646 568.629 1628.8
366000 569.986 491.88 573.114 1634.98
368000 572.903 492.588 574.247 1639.74
370000 578.056 493.643 574.765 1646.46
372000 582.707 496.581 579.009 1658.3
374000 586.023 499.769 582.473 1668.27
376000 589.392 501.69 583.478 1674.56
378000 591.185 503.28 584.418 1678.88
380000 594.383 505.911 587.276 1687.57
382000 595.03 506.075 589.105 1690.21
384000 593.627 510.632 595.085 1699.34
386000 598.97 511.916 598.667 1709.55
388000 600.473 511.548 599.847 1711.87
390000 602.341 513.903 605.842 1722.09
392000 604.275 518.68 613.716 1736.67
394000 606.471 520.609 613.303 1740.38
396000 610.024 524.68 617.062 1751.77
398000 614.671 527.921 622.544 1765.14
400000 615.013 530.686 622.755 1768.45
402000 618.476 535.333 623.908 1777.72
404000 620.359 539.578 626.58 1786.52
406000 624.675 540.867 629.264 1794.81
408000 628.421 543.068 631.468 1802.96
410000 631.825 544.821 637.987 1814.63
412000 636.625 544.837 639.905 1821.37
414000 637.266 547.97 643.849 1829.08
416000 639.288 550.741 645.725 1835.75
418000 645.266 552.125 651.392 1848.78
420000 651.046 555.529 653.559 1860.13
422000 653.887 560.62 660.482 1874.99
424000 655.487 561.327 664.064 1880.88
426000 659.515 563.313 665.524 1888.35
428000 663.392 565.833 666.305 1895.53
430000 663.93 564.434 667.891 1896.25
432000 670.607 570.335 670.126 1911.07
434000 676.356 570.982 672.42 1919.76
436000 682.646 575.584 677.575 1935.8
438000 683.046 579.7 681.263 1944.01
440000 687.866 578.124 683.302 1949.29
442000 689.274 576.669 686.459 1952.4
444000 696.235 582.202 690.323 1968.76
446000 698.898 581.177 694.602 1974.68
448000 705.713 585.598 697.978 1989.29
450000 707.647 592.596 699.431 1999.67
452000 708.153 598.644 699.362 2006.16
454000 712.056 603.047 703.725 2018.83
456000 716.52 604.441 707.914 2028.87
458000 717.274 604.131 711.289 2032.69
460000 722.115 611.781 715.478 2049.37
462000 725.475 619.056 718.275 2062.81
464000 728.863 620.222 724.662 2073.75
466000 734.491 624.032 730.688 2089.21
468000 733.094 622.009 733.935 2089.04
470000 734.73 628.094 736.458 2099.28
472000 740.194 633.081 737.432 2110.71
474000 742 638.541 744.663 2125.2
476000 743.317 637.387 751.6 2132.3
478000 745.658 635.461 755.912 2137.03
480000 747.359 639.854 755.121 2142.33
482000 751.514 644.055 759.138 2154.71
484000 750.332 644.177 758.113 2152.62
486000 753.495 650.125 764.337 2167.96
488000 753.334 656.785 766.428 2176.55
490000 754.603 661.117 766.54 2182.26
492000 759.183 662.477 772.805 2194.46
494000 761.354 664.484 774.556 2200.39
496000 762.006 669.924 775.609 2207.54
498000 764.656 670.725 778.628 2214.01
500000 767.35 674.847 782.614 2224.81
502000 771.88 681.95 787.896 2241.73
504000 774.19 684.581 792.052 2250.82
506000 776.354 685.04 796.676 2258.07
508000 774.427 689.458 801.428 2265.31
510000 774.482 691.198 802.977 2268.66
512000 778.753 694.909 808.675 2282.34
514000 780.916 697.67 809.65 2288.24
516000 779.105 700.464 815.274 2294.84
518000 784.435 700.936 817.366 2302.74
520000 792.14 704.84 818.489 2315.47
522000 796.303 705.505 819.152 2320.96
524000 800.176 706.405 824.567 2331.15
526000 803.639 709.128 823.011 2335.78
528000 807.839 713.158 825.752 2346.75
530000 808.465 716.189 829.523 2354.18
532000 810.615 716.496 833.667 2360.78
534000 812.987 721.512 837.76 2372.26
536000 813.611 724.113 842.337 2380.06
538000 814.776 724.464 843.177 2382.42
540000 817.529 729.867 841.202 2388.6
542000 821.247 734.12 846.145 2401.51
544000 825.457 735.808 848.61 2409.88
546000 828.894 735.536 852.392 2416.82
548000 831.009 737.373 852.66 2421.04
550000 828.417 743.552 853.789 2425.76
552000 835.211 746.681 855.908 2437.8
554000 835.757 749.267 854.99 2440.01
556000 834.687 752.769 861.232 2448.69
558000 842.198 757.408 861.446 2461.05
560000 846.011 759.135 867.255 2472.4
562000 846.153 765.3 871.885 2483.34
564000 847.463 771.102 873.063 2491.63
566000 852.097 773.298 873.407 2498.8
568000 851.712 777.466 876.255 2505.43
570000 855.823 783.042 879.73 2518.59
572000 857.527 781.314 880.518 2519.36
574000 861.14 784.568 883.219 2528.93
576000 863.706 787.475 885.143 2536.32
578000 864.163 788.543 886.587 2539.29
580000 868.527 791.298 891.508 2551.33
582000 873.914 794.281 897.4 2565.59
584000 877.128 791.841 902.53 2571.5
586000 876.996 796.222 904.378 2577.6
588000 879.72 800.172 905.891 2585.78
590000 880.54 801.069 912.601 2594.21
592000 884.119 799.651 916.226 2600
594000 886.232 801.708 916.502 2604.44
596000 886.152 803.968 920.926 2611.05
598000 892.403 803.25 922.942 2618.6
600000 893.744 806.828 922.081 2622.65
602000 898.745 814.346 923.951 2637.04
604000 900.512 814.516 925.662 2640.69
606000 904.016 822.11 927.046 2653.17
608000 909.903 822.825 933.477 2666.2
610000 913.764 826.263 939.249 2679.28
612000 920.496 833.143 936.137 2689.78
614000 924.868 839.529 941.854 2706.25
616000 926.682 842.085 942.793 2711.56
618000 928.796 847.368 945.393 2721.56
620000 930.634 851.019 946.718 2728.37
622000 934.633 857.303 950.655 2742.59
624000 936.111 860.685 948.83 2745.63
626000 938.97 863.258 952.81 2755.04
628000 943.992 865.998 954.971 2764.96
630000 947.099 870.082 959.057 2776.24
632000 952.311 875.511 960.555 2788.38
634000 955.009 878.219 963.796 2797.02
636000 955.289 882.933 961.816 2800.04
638000 957.303 889.299 964.462 2811.06
640000 961.439 889.169 968.51 2819.12
642000 959.87 894.34 968.862 2823.07
644000 961.07 894.223 976.824 2832.12
646000 964.225 901.83 979.803 2845.86
648000 968.336 902.1 976.337 2846.77
650000 974.837 906.415 976.303 2857.56
652000 977.922 906.578 981.919 2866.42
