# Time-averaged data for fix savemsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 1.82607e-33 0 3.10431e-32 3.28692e-32
2000 7.28033 7.75228 8.22942 23.262
4000 13.4083 15.2614 15.963 44.6328
6000 21.0342 22.733 22.9044 66.6716
8000 28.7738 30.8184 31.6575 91.2498
10000 36.2535 40.1857 37.647 114.086
12000 42.351 47.3742 43.5869 133.312
14000 49.2776 57.0059 52.3586 158.642
16000 60.1766 64.0687 58.894 183.139
18000 69.3184 70.5975 67.2526 207.168
20000 76.7797 79.9687 75.1399 231.888
22000 85.8782 87.2973 80.346 253.521
24000 91.4847 93.4783 87.1511 272.114
26000 99.4821 100.786 96.0874 296.356
28000 107.421 108.401 104.67 320.492
30000 114.491 115.637 112.514 342.642
32000 123.455 124.687 118.425 366.568
34000 131.775 131.242 127.115 390.132
36000 139.916 140.45 138.768 419.133
38000 145.237 147.541 147.876 440.654
40000 152.345 154.616 157.907 464.868
42000 158.764 159.793 169.898 488.455
44000 166.459 168.48 177.054 511.993
46000 172.716 172.402 183.8 528.918
48000 180.176 181.918 190.353 552.448
50000 191.434 190.469 201.928 583.831
52000 198.626 198.451 210.537 607.615
54000 207.502 207.795 216.16 631.457
56000 215.398 217.407 222.009 654.814
58000 219.642 226.292 226.689 672.622
60000 228.901 233.487 235.737 698.125
62000 237.74 242.481 242.115 722.336
64000 247.545 251.992 252.519 752.056
66000 252.298 260.641 263.976 776.915
68000 262.367 267.495 273.726 803.588
70000 269.498 276.005 281.037 826.54
72000 280.85 285.734 289.972 856.556
74000 286.247 292.759 295.016 874.022
76000 287.82 301.013 301.684 890.517
78000 291.884 313.515 309.508 914.907
80000 299.172 316.263 315.754 931.188
82000 309.908 325.272 323.083 958.263
84000 318.528 340.814 329.169 988.511
86000 324.593 351.755 334.941 1011.29
88000 328.606 363.143 340.909 1032.66
90000 339.351 373.017 347.049 1059.42
92000 345.357 378.029 356.411 1079.8
94000 356.039 383.844 365.469 1105.35
96000 364.631 397.05 375.214 1136.89
98000 372.573 406.554 382.303 1161.43
100000 381.325 414.16 388.821 1184.31
102000 387.579 421.26 395.238 1204.08
104000 393.41 422.314 401.07 1216.79
106000 402.858 433.74 408.222 1244.82
108000 413.398 446.064 413.163 1272.63
110000 421.328 454.907 417.048 1293.28
112000 428.348 463.092 418.956 1310.4
114000 437.775 478.74 423.185 1339.7
116000 446.074 487.643 433.671 1367.39
118000 452.615 496.458 439.664 1388.74
120000 458.848 505.87 452.008 1416.73
122000 468.115 511.205 463.638 1442.96
124000 475.34 517.254 471.813 1464.41
126000 488.943 524.132 482.451 1495.53
128000 494.123 530.393 491.748 1516.26
130000 501.871 543.13 504.708 1549.71
132000 509.668 554.2 507.869 1571.74
134000 519.693 559.919 517.294 1596.91
136000 527.737 566.265 524.087 1618.09
138000 535.991 575.306 534.368 1645.67
140000 542.511 585.258 540.004 1667.77
142000 548.315 592.885 550.196 1691.4
144000 553.387 600.981 562.026 1716.39
146000 562.232 602.628 570.657 1735.52
148000 569.225 605.261 578.134 1752.62
150000 576.794 615.426 587.78 1780
152000 588.805 628.401 593.129 1810.33
154000 598.813 631.683 603.85 1834.35
156000 607.729 642.325 613.233 1863.29
158000 612.426 649.929 623.852 1886.21
160000 617.91 652.185 635.828 1905.92
162000 623.45 664.157 647.612 1935.22
164000 629.278 667.762 652.957 1950
166000 641.756 678.903 664.042 1984.7
168000 649.039 682.39 671.177 2002.61
170000 661.352 697.512 679.348 2038.21
172000 671.315 702.665 684.827 2058.81
174000 676.043 711.539 697.942 2085.52
176000 681.168 719.638 705.352 2106.16
178000 691.474 728.119 714.606 2134.2
180000 701.586 736.121 717.732 2155.44
182000 709.608 746.907 729.052 2185.57
184000 720.383 756.698 741.556 2218.64
186000 727.582 769.506 750.2 2247.29
188000 736.91 776.883 754.045 2267.84
190000 750.845 787.054 758.209 2296.11
192000 754.569 789.25 764.272 2308.09
194000 760.605 797.133 771.711 2329.45
196000 774.02 808.294 777.758 2360.07
198000 788.383 815.186 791.542 2395.11
200000 793.981 817.221 796.559 2407.76
202000 804.556 822.868 801.388 2428.81
204000 811.609 829.616 811.19 2452.41
206000 815.333 835.72 821.455 2472.51
208000 823.457 842.842 834.33 2500.63
210000 833.962 846.274 840.064 2520.3
212000 838.611 849.646 850.135 2538.39
214000 853.213 856.295 857.795 2567.3
216000 858.294 861.596 860.357 2580.25
218000 864.725 870.897 862.6 2598.22
220000 881.92 873.197 872.144 2627.26
222000 888.757 880.752 877.591 2647.1
224000 897.815 888.208 886.668 2672.69
226000 903.978 897.665 894.831 2696.47
228000 906.531 909.275 900.426 2716.23
230000 912.89 912.902 912.031 2737.82
232000 918.574 922.831 921.855 2763.26
234000 922.641 933.831 928.217 2784.69
236000 938.937 936.467 940.15 2815.55
238000 950.592 943.392 950.504 2844.49
240000 957.643 953.291 958.912 2869.85
242000 958.473 959.691 967.087 2885.25
