# Time-averaged data for fix savemsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 1.82607e-33 0 1.40899e-29 1.40918e-29
2000 1.7037 1.80417 1.51045 5.01832
4000 3.55188 3.37079 3.02756 9.95023
6000 4.86592 5.13755 4.43615 14.4396
8000 6.54197 6.83392 6.06527 19.4412
10000 7.80186 8.41643 7.68034 23.8986
12000 9.56794 10.1689 8.94507 28.6819
14000 11.0932 11.9509 10.3508 33.3948
16000 13.0585 13.3492 12.0425 38.4502
18000 14.5202 15.0077 13.6485 43.1763
20000 16.4938 16.8295 15.7081 49.0314
22000 17.6812 18.2011 17.742 53.6243
24000 19.1431 19.9038 19.4027 58.4496
26000 20.3358 21.0942 20.6316 62.0616
28000 22.3319 22.8611 22.5545 67.7475
30000 24.0744 25.1199 24.8438 74.0382
32000 26.0113 26.2542 26.2488 78.5143
34000 28.1663 27.9142 28.0358 84.1163
36000 30.272 29.6417 29.0747 88.9884
38000 31.5583 30.8854 31.1488 93.5926
40000 33.0917 33.5826 32.683 99.3574
42000 35.0772 34.8272 34.3787 104.283
44000 36.6131 36.3182 36.6271 109.558
46000 39.3556 38.1691 37.1461 114.671
48000 40.6276 39.5996 38.529 118.756
50000 41.9191 40.8104 39.4838 122.213
52000 44.4437 42.3137 40.6325 127.39
54000 46.2521 43.1425 42.8469 132.241
56000 48.424 44.6148 44.5354 137.574
58000 49.6304 45.254 45.9492 140.834
60000 52.1537 46.9915 47.1288 146.274
62000 53.6619 48.6436 48.8604 151.166
64000 55.3406 50.2141 50.4081 155.963
66000 57.0567 52.1488 52.1205 161.326
68000 59.2841 53.2941 54.5846 167.163
70000 61.2995 54.5394 55.8222 171.661
72000 63.4973 56.2845 56.3766 176.158
74000 64.3416 57.8517 57.3105 179.504
76000 65.6516 59.4092 58.1227 183.184
78000 67.4911 60.9393 59.395 187.825
80000 68.7836 61.9199 61.5133 192.217
82000 69.347 63.8244 62.9782 196.15
84000 71.1982 65.3146 64.331 200.844
86000 72.8592 67.2316 65.3897 205.48
88000 73.8826 69.181 67.237 210.301
90000 76.4354 70.9974 68.847 216.28
92000 78.606 71.8886 71.0887 221.583
94000 80.1503 73.8852 73.0041 227.04
96000 81.6512 74.5763 74.6679 230.895
98000 83.6512 76.4302 75.1615 235.243
100000 85.6757 78.6838 76.1549 240.514
102000 86.582 80.9289 77.7984 245.309
104000 87.6521 81.6898 78.4818 247.824
106000 88.7682 82.8516 80.7531 252.373
108000 90.3493 84.8037 81.8681 257.021
110000 91.5164 85.6982 83.9393 261.154
112000 91.4712 87.8022 85.2919 264.565
114000 93.0045 89.857 87.1379 269.999
116000 95.2031 90.2476 88.8165 274.267
118000 96.7075 92.4625 90.2342 279.404
120000 97.4049 93.5629 91.2605 282.228
122000 98.4733 94.5715 93.6706 286.715
124000 99.5301 96.6829 95.5944 291.807
126000 101.804 97.9908 97.9504 297.746
128000 102.422 99.9449 99.2138 301.581
130000 103.889 100.275 100.366 304.531
132000 104.926 101.713 101.593 308.232
134000 105.595 102.964 103.445 312.003
136000 107.583 104.855 104.674 317.113
138000 108.638 106.472 106.013 321.122
140000 109.595 108.633 107.825 326.053
142000 111.531 110.362 110.664 332.558
144000 112.583 112.542 112.33 337.455
146000 113.397 113.952 114.183 341.532
148000 115.661 115.946 115.352 346.959
150000 118.079 117.148 117.037 352.264
152000 120.138 119.3 119.2 358.638
154000 123.022 121.917 122.006 366.945
156000 123.878 122.602 123.475 369.955
158000 124.788 124.451 125.261 374.5
160000 126.566 125.589 126.796 378.951
162000 128.545 126.755 127.775 383.075
164000 130.805 129.203 128.552 388.561
166000 132.902 129.697 129.556 392.156
168000 133.726 131.975 130.44 396.141
170000 135.902 133.668 131.678 401.248
172000 138.837 134.659 133.422 406.918
174000 139.096 136.308 134.316 409.72
176000 140.897 138.47 135.524 414.892
178000 142.469 140.359 138.122 420.951
180000 143.791 143.362 139.286 426.439
182000 144.916 145.365 139.851 430.132
184000 145.158 144.902 140.429 430.489
186000 146.812 147.145 141.515 435.472
188000 150.457 146.691 143.109 440.257
190000 152.186 149.334 144.514 446.034
192000 153.75 150.885 146.989 451.624
194000 155.632 152.282 148.543 456.458
196000 157.133 154.538 149.569 461.241
198000 159.415 157.722 151.216 468.353
200000 160.987 159.675 152.781 473.442
202000 162.762 161.186 153.996 477.944
204000 164.044 163.121 156.76 483.925
206000 166.345 164.904 157.739 488.988
208000 168.306 166.413 159.826 494.545
210000 169.49 166.954 161.378 497.822
212000 171.434 168.22 162.545 502.198
214000 173.189 169.323 162.904 505.416
216000 174.774 170.961 165.119 510.854
218000 175.829 172.567 166.935 515.331
220000 178.436 174.037 168.377 520.85
222000 179.979 173.69 171.764 525.432
224000 182.173 176.137 173.663 531.973
226000 183.641 177.895 175.919 537.455
228000 183.829 179.575 177.118 540.522
230000 185.888 179.437 178.558 543.883
232000 186.309 182.147 179.782 548.238
234000 186.636 184.353 182.999 553.989
236000 188.744 185.664 186.138 560.545
238000 190.851 189.135 188.011 567.996
240000 193.705 189.651 189.437 572.793
242000 195.57 191.637 189.257 576.464
244000 197.55 193.945 190.526 582.021
246000 199.505 194.444 192.198 586.147
248000 200.592 195.072 193.699 589.363
250000 201.39 196.408 195.71 593.507
252000 202.226 197.112 197.997 597.335
254000 203.225 200.237 200.498 603.96
256000 204.366 203.525 201.442 609.333
258000 206.917 205.584 202.476 614.976
260000 209.039 205.505 203.894 618.437
262000 210.031 207.508 207 624.54
264000 212.012 210.169 207.85 630.031
266000 212.401 211.676 208.899 632.976
268000 214.22 213.134 212.024 639.379
270000 216.557 216.49 214.176 647.223
272000 220.413 218.559 215.05 654.021
274000 221.49 219.341 216.459 657.29
276000 222.896 220.109 219.044 662.049
278000 223.754 223.227 219.241 666.221
280000 225.487 225.736 219.652 670.875
282000 225.783 227.637 220.833 674.253
284000 226.824 229.808 222.297 678.93
286000 228.321 231.104 225.47 684.896
288000 229.606 232.652 226.107 688.364
290000 232.461 234.27 227.337 694.069
292000 233.675 234.9 229.774 698.349
294000 234.987 234.794 230.215 699.996
296000 237.343 236.32 230.845 704.509
298000 238.702 237.055 232.163 707.919
300000 239.904 239.331 233.176 712.411
302000 242.627 240.154 235.994 718.775
304000 243.016 240.087 239.017 722.12
306000 244.587 239.954 239.13 723.672
