# auto-correlation of: jx jy jz avg
            0   9.2116e+07   9.2119e+07   9.2826e+07   9.2354e+07
   5.0336e-03   8.8206e+07   8.8226e+07   8.8924e+07   8.8452e+07
   1.0067e-02   7.8161e+07   7.8231e+07   7.8897e+07   7.8430e+07
   1.5101e-02   6.5522e+07   6.5665e+07   6.6269e+07   6.5819e+07
   2.0134e-02   5.3281e+07   5.3510e+07   5.4021e+07   5.3604e+07
   2.5168e-02   4.2960e+07   4.3282e+07   4.3670e+07   4.3304e+07
   3.0201e-02   3.4907e+07   3.5333e+07   3.5581e+07   3.5274e+07
   3.5235e-02   2.8832e+07   2.9370e+07   2.9487e+07   2.9229e+07
   4.0268e-02   2.4235e+07   2.4883e+07   2.4908e+07   2.4676e+07
   4.5302e-02   2.0682e+07   2.1416e+07   2.1407e+07   2.1169e+07
   5.0336e-02   1.7876e+07   1.8653e+07   1.8663e+07   1.8397e+07
   5.5369e-02   1.5627e+07   1.6399e+07   1.6448e+07   1.6158e+07
   6.0403e-02   1.3796e+07   1.4517e+07   1.4601e+07   1.4305e+07
   6.5436e-02   1.2271e+07   1.2899e+07   1.3007e+07   1.2725e+07
   7.0470e-02   1.0961e+07   1.1462e+07   1.1588e+07   1.1337e+07
   7.5503e-02   9.8065e+06   1.0163e+07   1.0301e+07   1.0090e+07
   8.0537e-02   8.7815e+06   8.9966e+06   9.1316e+06   8.9699e+06
   8.5570e-02   7.8812e+06   7.9733e+06   8.0834e+06   7.9793e+06
   9.0604e-02   7.1040e+06   7.1053e+06   7.1603e+06   7.1232e+06
   9.5638e-02   6.4379e+06   6.3948e+06   6.3535e+06   6.3954e+06
   1.0067e-01   5.8595e+06   5.8274e+06   5.6412e+06   5.7761e+06
   1.0570e-01   5.3436e+06   5.3710e+06   5.0004e+06   5.2383e+06
   1.1074e-01   4.8728e+06   4.9814e+06   4.4134e+06   4.7559e+06
   1.1577e-01   4.4415e+06   4.6213e+06   3.8714e+06   4.3114e+06
   1.2081e-01   4.0492e+06   4.2760e+06   3.3724e+06   3.8992e+06
   1.2584e-01   3.6924e+06   3.9533e+06   2.9175e+06   3.5210e+06
   1.3087e-01   3.3650e+06   3.6674e+06   2.5102e+06   3.1809e+06
   1.3591e-01   3.0635e+06   3.4253e+06   2.1545e+06   2.8811e+06
   1.4094e-01   2.7838e+06   3.2192e+06   1.8517e+06   2.6182e+06
   1.4597e-01   2.5176e+06   3.0264e+06   1.6010e+06   2.3817e+06
   1.5101e-01   2.2559e+06   2.8176e+06   1.4002e+06   2.1579e+06
   1.5604e-01   1.9984e+06   2.5739e+06   1.2423e+06   1.9382e+06
   1.6107e-01   1.7570e+06   2.2981e+06   1.1125e+06   1.7225e+06
   1.6611e-01   1.5470e+06   2.0157e+06   9.9218e+05   1.5183e+06
   1.7114e-01   1.3724e+06   1.7645e+06   8.6882e+05   1.3352e+06
   1.7617e-01   1.2195e+06   1.5751e+06   7.4177e+05   1.1788e+06
   1.8121e-01   1.0663e+06   1.4526e+06   6.1723e+05   1.0454e+06
   1.8624e-01   9.0218e+05   1.3753e+06   5.0132e+05   9.2626e+05
   1.9128e-01   7.3833e+05   1.3106e+06   3.9744e+05   8.1545e+05
   1.9631e-01   5.9853e+05   1.2315e+06   3.0419e+05   7.1142e+05
   2.0134e-01   4.9859e+05   1.1264e+06   2.1694e+05   6.1399e+05
   2.0638e-01   4.3718e+05   9.9953e+05   1.3118e+05   5.2263e+05
   2.1141e-01   4.0189e+05   8.6492e+05   4.6269e+04   4.3769e+05
   2.1644e-01   3.7747e+05   7.4225e+05  -3.4093e+04   3.6187e+05
   2.2148e-01   3.5056e+05   6.4994e+05  -1.0652e+05   2.9799e+05
   2.2651e-01   3.1376e+05   5.9354e+05  -1.7582e+05   2.4382e+05
   2.3154e-01   2.7050e+05   5.5987e+05  -2.5226e+05   1.9270e+05
   2.3658e-01   2.3357e+05   5.2522e+05  -3.4019e+05   1.3953e+05
   2.4161e-01   2.1341e+05   4.7062e+05  -4.2997e+05   8.4688e+04
   2.4664e-01   2.0828e+05   3.9119e+05  -5.0135e+05   3.2705e+04
   2.5168e-01   2.0876e+05   2.9694e+05  -5.3267e+05  -8.9873e+03
   2.5671e-01   2.0929e+05   2.0927e+05  -5.1239e+05  -3.1277e+04
   2.6174e-01   2.1128e+05   1.5320e+05  -4.4466e+05  -2.6727e+04
   2.6678e-01   2.1929e+05   1.4415e+05  -3.4338e+05   6.6885e+03
   2.7181e-01   2.3607e+05   1.7818e+05  -2.2664e+05   6.2538e+04
   2.7685e-01   2.5589e+05   2.3285e+05  -1.1367e+05   1.2502e+05
   2.8188e-01   2.6357e+05   2.7839e+05  -1.5219e+04   1.7558e+05
   2.8691e-01   2.4331e+05   2.9525e+05   7.2632e+04   2.0373e+05
   2.9195e-01   1.9251e+05   2.8847e+05   1.5797e+05   2.1299e+05
   2.9698e-01   1.2845e+05   2.8577e+05   2.3794e+05   2.1738e+05
   3.0201e-01   7.9117e+04   3.1403e+05   2.9998e+05   2.3104e+05
   3.0705e-01   6.3996e+04   3.7672e+05   3.3497e+05   2.5856e+05
   3.1208e-01   7.9930e+04   4.5192e+05   3.4067e+05   2.9084e+05
   3.1711e-01   1.0262e+05   5.0821e+05   3.1830e+05   3.0971e+05
   3.2215e-01   1.0276e+05   5.2130e+05   2.7191e+05   2.9866e+05
   3.2718e-01   6.1325e+04   4.8520e+05   2.0892e+05   2.5181e+05
   3.3221e-01  -2.4040e+04   4.0798e+05   1.3656e+05   1.7350e+05
   3.3725e-01  -1.3813e+05   3.0094e+05   6.3874e+04   7.5562e+04
   3.4228e-01  -2.5414e+05   1.7584e+05   4.2387e+03  -2.4688e+04
   3.4732e-01  -3.4346e+05   4.8803e+04  -3.1136e+04  -1.0860e+05
   3.5235e-01  -3.8719e+05  -6.2347e+04  -4.1907e+04  -1.6382e+05
   3.5738e-01  -3.8461e+05  -1.4845e+05  -3.8364e+04  -1.9048e+05
   3.6242e-01  -3.4892e+05  -2.1362e+05  -3.4948e+04  -1.9916e+05
   3.6745e-01  -2.9706e+05  -2.6832e+05  -3.8609e+04  -2.0133e+05
   3.7248e-01  -2.4639e+05  -3.2085e+05  -4.1794e+04  -2.0301e+05
   3.7752e-01  -2.1449e+05  -3.7337e+05  -2.7198e+04  -2.0502e+05
   3.8255e-01  -2.1507e+05  -4.2425e+05   1.9752e+04  -2.0652e+05
   3.8758e-01  -2.4839e+05  -4.7065e+05   1.0071e+05  -2.0611e+05
   3.9262e-01  -2.9704e+05  -5.0537e+05   2.0397e+05  -1.9948e+05
   3.9765e-01  -3.3503e+05  -5.1579e+05   3.1316e+05  -1.7922e+05
   4.0268e-01  -3.4435e+05  -4.9037e+05   4.1120e+05  -1.4117e+05
   4.0772e-01  -3.2190e+05  -4.3096e+05   4.7890e+05  -9.1321e+04
   4.1275e-01  -2.7680e+05  -3.5601e+05   4.9847e+05  -4.4779e+04
   4.1779e-01  -2.2364e+05  -2.9341e+05   4.6505e+05  -1.7334e+04
   4.2282e-01  -1.7789e+05  -2.6617e+05   3.9120e+05  -1.7621e+04
   4.2785e-01  -1.5138e+05  -2.8205e+05   3.0117e+05  -4.4089e+04
   4.3289e-01  -1.4760e+05  -3.3394e+05   2.2182e+05  -8.6570e+04
   4.3792e-01  -1.6130e+05  -4.0395e+05   1.7352e+05  -1.3058e+05
   4.4295e-01  -1.8320e+05  -4.6721e+05   1.6441e+05  -1.6200e+05
   4.4799e-01  -2.0875e+05  -5.0230e+05   1.8754e+05  -1.7450e+05
   4.5302e-01  -2.4099e+05  -5.0363e+05   2.2279e+05  -1.7394e+05
   4.5805e-01  -2.8243e+05  -4.8315e+05   2.4705e+05  -1.7284e+05
   4.6309e-01  -3.2579e+05  -4.5751e+05   2.4434e+05  -1.7965e+05
   4.6812e-01  -3.5519e+05  -4.3578e+05   2.0671e+05  -1.9475e+05
   4.7315e-01  -3.5291e+05  -4.2093e+05   1.3070e+05  -2.1438e+05
   4.7819e-01  -3.0703e+05  -4.1609e+05   2.0218e+04  -2.3430e+05
   4.8322e-01  -2.1818e+05  -4.2371e+05  -1.1196e+05  -2.5128e+05
   4.8826e-01  -1.0322e+05  -4.3980e+05  -2.5054e+05  -2.6452e+05
   4.9329e-01   1.3490e+04  -4.5268e+05  -3.8555e+05  -2.7491e+05
   4.9832e-01   1.1196e+05  -4.4913e+05  -5.1533e+05  -2.8417e+05
   5.0336e-01   1.8393e+05  -4.2150e+05  -6.4018e+05  -2.9258e+05
   5.0839e-01   2.3377e+05  -3.7505e+05  -7.5167e+05  -2.9765e+05
   5.1342e-01   2.7256e+05  -3.2617e+05  -8.3302e+05  -2.9554e+05
   5.1846e-01   3.0864e+05  -2.8926e+05  -8.6987e+05  -2.8350e+05
   5.2349e-01   3.4502e+05  -2.6911e+05  -8.5924e+05  -2.6111e+05
   5.2852e-01   3.8455e+05  -2.6307e+05  -8.1152e+05  -2.3001e+05
   5.3356e-01   4.3504e+05  -2.6464e+05  -7.4748e+05  -1.9236e+05
   5.3859e-01   5.0435e+05  -2.6464e+05  -6.8832e+05  -1.4953e+05
   5.4362e-01   5.9084e+05  -2.5527e+05  -6.4341e+05  -1.0261e+05
   5.4866e-01   6.8092e+05  -2.3425e+05  -6.0826e+05  -5.3861e+04
   5.5369e-01   7.5859e+05  -2.0527e+05  -5.7200e+05  -6.2280e+03
   5.5872e-01   8.1533e+05  -1.7356e+05  -5.2581e+05   3.8654e+04
   5.6376e-01   8.5063e+05  -1.4116e+05  -4.6777e+05   8.0568e+04
   5.6879e-01   8.6538e+05  -1.0717e+05  -4.0605e+05   1.1738e+05
   5.7383e-01   8.6158e+05  -7.0668e+04  -3.5694e+05   1.4466e+05
   5.7886e-01   8.4713e+05  -3.6263e+04  -3.3613e+05   1.5825e+05
   5.8389e-01   8.3218e+05  -1.7455e+04  -3.4741e+05   1.5577e+05
   5.8893e-01   8.1825e+05  -3.1111e+04  -3.7524e+05   1.3730e+05
   5.9396e-01   7.9658e+05  -8.4316e+04  -3.9071e+05   1.0719e+05
   5.9899e-01   7.5837e+05  -1.6514e+05  -3.7234e+05   7.3632e+04
   6.0403e-01   7.0384e+05  -2.4844e+05  -3.2027e+05   4.5046e+04
   6.0906e-01   6.4323e+05  -3.1231e+05  -2.4989e+05   2.7011e+04
   6.1409e-01   5.8947e+05  -3.4740e+05  -1.7789e+05   2.1390e+04
   6.1913e-01   5.5466e+05  -3.5456e+05  -1.1650e+05   2.7865e+04
   6.2416e-01   5.5051e+05  -3.3884e+05  -7.2220e+04   4.6485e+04
   6.2919e-01   5.8187e+05  -3.0916e+05  -4.7512e+04   7.5065e+04
   6.3423e-01   6.3885e+05  -2.8147e+05  -4.6784e+04   1.0353e+05
   6.3926e-01   7.0330e+05  -2.7424e+05  -7.6387e+04   1.1756e+05
   6.4430e-01   7.5786e+05  -2.9623e+05  -1.3703e+05   1.0820e+05
   6.4933e-01   7.8708e+05  -3.4366e+05  -2.1551e+05   7.5971e+04
   6.5436e-01   7.8127e+05  -4.0567e+05  -2.9108e+05   2.8176e+04
   6.5940e-01   7.4060e+05  -4.6867e+05  -3.4906e+05  -2.5713e+04
   6.6443e-01   6.7368e+05  -5.2053e+05  -3.8350e+05  -7.6780e+04
   6.6946e-01   5.9082e+05  -5.5773e+05  -3.9444e+05  -1.2045e+05
   6.7450e-01   5.0057e+05  -5.8755e+05  -3.8737e+05  -1.5812e+05
   6.7953e-01   4.1026e+05  -6.2038e+05  -3.7131e+05  -1.9381e+05
   6.8456e-01   3.2624e+05  -6.6005e+05  -3.5633e+05  -2.3005e+05
   6.8960e-01   2.5203e+05  -7.0160e+05  -3.5320e+05  -2.6759e+05
   6.9463e-01   1.9010e+05  -7.3829e+05  -3.7046e+05  -3.0622e+05
   6.9966e-01   1.4262e+05  -7.6858e+05  -4.1219e+05  -3.4605e+05
   7.0470e-01   1.0996e+05  -7.9893e+05  -4.7501e+05  -3.8799e+05
   7.0973e-01   9.0928e+04  -8.3860e+05  -5.4444e+05  -4.3070e+05
   7.1477e-01   8.5114e+04  -8.8725e+05  -6.0190e+05  -4.6801e+05
   7.1980e-01   9.4080e+04  -9.3125e+05  -6.3709e+05  -4.9142e+05
   7.2483e-01   1.2271e+05  -9.5263e+05  -6.4907e+05  -4.9300e+05
